127.0.0.1 - - [15/Nov/2016:13:13:08 -0600] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:15 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:15 -0600] "GET /AdministradordeTareas/js/angular-ui-router.min.js HTTP/1.1" 200 32961
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:15 -0600] "GET /AdministradordeTareas/app/app.js HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:15 -0600] "GET /AdministradordeTareas/app/Tareas/tareasCtrl.js HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:15 -0600] "GET /AdministradordeTareas/servicios/common.js HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:15 -0600] "GET /AdministradordeTareas/app/MainCtrl.js HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:15 -0600] "GET /AdministradordeTareas/servicios/tareasResource.js HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:15 -0600] "GET /AdministradordeTareas/servicios/tareasResourceMock.js HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:15 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css.map HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:15 -0600] "GET /AdministradordeTareas/js/angular.min.js.map HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:15 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js.map HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:23 -0600] "GET /AdministradordeTareas/ HTTP/1.1" 200 1940
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:23 -0600] "GET /AdministradordeTareas/css/app.css HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:23 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:23 -0600] "GET /AdministradordeTareas/js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:23 -0600] "GET /AdministradordeTareas/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:23 -0600] "GET /AdministradordeTareas/js/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:23 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:23 -0600] "GET /AdministradordeTareas/js/angular-ui-router.min.js HTTP/1.1" 200 32961
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:23 -0600] "GET /AdministradordeTareas/js/angular-mocks.js HTTP/1.1" 200 111629
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:23 -0600] "GET /AdministradordeTareas/app/app.js HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:23 -0600] "GET /AdministradordeTareas/app/MainCtrl.js HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:23 -0600] "GET /AdministradordeTareas/app/Tareas/tareasCtrl.js HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:23 -0600] "GET /AdministradordeTareas/servicios/common.js HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:23 -0600] "GET /AdministradordeTareas/servicios/tareasResourceMock.js HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:23 -0600] "GET /AdministradordeTareas/servicios/tareasResource.js HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:23 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css.map HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:23 -0600] "GET /AdministradordeTareas/js/angular.min.js.map HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:23 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js.map HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:23 -0600] "GET /AdministradordeTareas/ HTTP/1.1" 200 1940
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:23 -0600] "GET /AdministradordeTareas/css/app.css HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:23 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:23 -0600] "GET /AdministradordeTareas/js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:23 -0600] "GET /AdministradordeTareas/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:23 -0600] "GET /AdministradordeTareas/js/angular-ui-router.min.js HTTP/1.1" 200 32961
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:23 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:23 -0600] "GET /AdministradordeTareas/js/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:23 -0600] "GET /AdministradordeTareas/js/angular-mocks.js HTTP/1.1" 200 111629
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:23 -0600] "GET /AdministradordeTareas/app/app.js HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:23 -0600] "GET /AdministradordeTareas/app/MainCtrl.js HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:23 -0600] "GET /AdministradordeTareas/app/Tareas/tareasCtrl.js HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:23 -0600] "GET /AdministradordeTareas/servicios/common.js HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:23 -0600] "GET /AdministradordeTareas/servicios/tareasResource.js HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:23 -0600] "GET /AdministradordeTareas/servicios/tareasResourceMock.js HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:23 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css.map HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/js/angular.min.js.map HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js.map HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/ HTTP/1.1" 200 1940
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/css/app.css HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/js/angular-ui-router.min.js HTTP/1.1" 200 32961
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/js/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/app/app.js HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/app/MainCtrl.js HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/js/angular-mocks.js HTTP/1.1" 200 111629
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/servicios/common.js HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/app/Tareas/tareasCtrl.js HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/servicios/tareasResourceMock.js HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/servicios/tareasResource.js HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css.map HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/js/angular.min.js.map HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js.map HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/ HTTP/1.1" 200 1940
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/css/app.css HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/js/angular-ui-router.min.js HTTP/1.1" 200 32961
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/js/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/js/angular-mocks.js HTTP/1.1" 200 111629
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/app/app.js HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/app/MainCtrl.js HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/app/Tareas/tareasCtrl.js HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/servicios/common.js HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/servicios/tareasResource.js HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/servicios/tareasResourceMock.js HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css.map HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js.map HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:24 -0600] "GET /AdministradordeTareas/js/angular.min.js.map HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:25 -0600] "GET /AdministradordeTareas/ HTTP/1.1" 200 1940
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:25 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:25 -0600] "GET /AdministradordeTareas/css/app.css HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:25 -0600] "GET /AdministradordeTareas/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:25 -0600] "GET /AdministradordeTareas/js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:25 -0600] "GET /AdministradordeTareas/js/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:25 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:25 -0600] "GET /AdministradordeTareas/js/angular-ui-router.min.js HTTP/1.1" 200 32961
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:25 -0600] "GET /AdministradordeTareas/js/angular-mocks.js HTTP/1.1" 200 111629
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:25 -0600] "GET /AdministradordeTareas/app/app.js HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:25 -0600] "GET /AdministradordeTareas/app/Tareas/tareasCtrl.js HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:25 -0600] "GET /AdministradordeTareas/app/MainCtrl.js HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:25 -0600] "GET /AdministradordeTareas/servicios/tareasResource.js HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:25 -0600] "GET /AdministradordeTareas/servicios/common.js HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:25 -0600] "GET /AdministradordeTareas/servicios/tareasResourceMock.js HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:25 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css.map HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:25 -0600] "GET /AdministradordeTareas/js/angular.min.js.map HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:25 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js.map HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:30 -0600] "GET /AdministradordeTareas/ HTTP/1.1" 200 1940
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:30 -0600] "GET /AdministradordeTareas/css/app.css HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:30 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:30 -0600] "GET /AdministradordeTareas/js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:30 -0600] "GET /AdministradordeTareas/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:30 -0600] "GET /AdministradordeTareas/js/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:30 -0600] "GET /AdministradordeTareas/js/angular-ui-router.min.js HTTP/1.1" 200 32961
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:30 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:30 -0600] "GET /AdministradordeTareas/app/app.js HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:30 -0600] "GET /AdministradordeTareas/js/angular-mocks.js HTTP/1.1" 200 111629
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:30 -0600] "GET /AdministradordeTareas/app/MainCtrl.js HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:30 -0600] "GET /AdministradordeTareas/servicios/common.js HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:30 -0600] "GET /AdministradordeTareas/servicios/tareasResource.js HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:30 -0600] "GET /AdministradordeTareas/app/Tareas/tareasCtrl.js HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:30 -0600] "GET /AdministradordeTareas/servicios/tareasResourceMock.js HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:30 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css.map HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:30 -0600] "GET /AdministradordeTareas/js/angular.min.js.map HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:55:30 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js.map HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:57:57 -0600] "GET /AdministradordeTareas/app/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:57:57 -0600] "GET /AdministradordeTareas/servicios/tareasResourceMock.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:00 -0600] "GET /AdministradordeTareas/js/angular.min.js.map HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:00 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js.map HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:00 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css.map HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:07 -0600] "GET /AdministradordeTareas/ HTTP/1.1" 200 1940
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:07 -0600] "GET /AdministradordeTareas/css/app.css HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:07 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:07 -0600] "GET /AdministradordeTareas/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:07 -0600] "GET /AdministradordeTareas/js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:07 -0600] "GET /AdministradordeTareas/js/angular-ui-router.min.js HTTP/1.1" 200 32961
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:07 -0600] "GET /AdministradordeTareas/js/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:07 -0600] "GET /AdministradordeTareas/js/angular-mocks.js HTTP/1.1" 200 111629
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:07 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:07 -0600] "GET /AdministradordeTareas/servicios/tareasResource.js HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:07 -0600] "GET /AdministradordeTareas/servicios/tareasResourceMock.js HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:07 -0600] "GET /AdministradordeTareas/servicios/common.js HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:07 -0600] "GET /AdministradordeTareas/app/Tareas/tareasCtrl.js HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:07 -0600] "GET /AdministradordeTareas/app/app.js HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:07 -0600] "GET /AdministradordeTareas/app/MainCtrl.js HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:07 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css.map HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:07 -0600] "GET /AdministradordeTareas/js/angular.min.js.map HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:07 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js.map HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:13 -0600] "GET /AdministradordeTareas/ HTTP/1.1" 200 1940
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:13 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:13 -0600] "GET /AdministradordeTareas/css/app.css HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:13 -0600] "GET /AdministradordeTareas/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:13 -0600] "GET /AdministradordeTareas/js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:13 -0600] "GET /AdministradordeTareas/js/angular-ui-router.min.js HTTP/1.1" 200 32961
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:13 -0600] "GET /AdministradordeTareas/js/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:13 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:13 -0600] "GET /AdministradordeTareas/app/app.js HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:13 -0600] "GET /AdministradordeTareas/app/MainCtrl.js HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:13 -0600] "GET /AdministradordeTareas/js/angular-mocks.js HTTP/1.1" 200 111629
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:13 -0600] "GET /AdministradordeTareas/app/Tareas/tareasCtrl.js HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:13 -0600] "GET /AdministradordeTareas/servicios/common.js HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:13 -0600] "GET /AdministradordeTareas/servicios/tareasResource.js HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:13 -0600] "GET /AdministradordeTareas/servicios/tareasResourceMock.js HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:13 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css.map HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:13 -0600] "GET /AdministradordeTareas/js/angular.min.js.map HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:13 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js.map HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:25 -0600] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:26 -0600] "GET /AdministradordeTareas/ HTTP/1.1" 200 1940
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:26 -0600] "GET /AdministradordeTareas/css/app.css HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:26 -0600] "GET /AdministradordeTareas/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:26 -0600] "GET /AdministradordeTareas/js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:26 -0600] "GET /AdministradordeTareas/js/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:26 -0600] "GET /AdministradordeTareas/js/angular-ui-router.min.js HTTP/1.1" 200 32961
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:26 -0600] "GET /AdministradordeTareas/js/angular-mocks.js HTTP/1.1" 200 111629
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:26 -0600] "GET /AdministradordeTareas/app/app.js HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:26 -0600] "GET /AdministradordeTareas/app/MainCtrl.js HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:26 -0600] "GET /AdministradordeTareas/app/Tareas/tareasCtrl.js HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:26 -0600] "GET /AdministradordeTareas/servicios/tareasResource.js HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:26 -0600] "GET /AdministradordeTareas/servicios/tareasResourceMock.js HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:26 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:26 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:26 -0600] "GET /AdministradordeTareas/servicios/common.js HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:26 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css.map HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:26 -0600] "GET /AdministradordeTareas/js/angular.min.js.map HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:26 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js.map HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:29 -0600] "GET /AdministradordeTareas/ HTTP/1.1" 200 1940
0:0:0:0:0:0:0:1 - - [15/Nov/2016:17:58:29 -0600] "GET /AdministradordeTareas/css/app.css HTTP/1.1" 200 560
